ID,,,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,,,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
64735,64734,,市立博愛國小,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,247905.232,2674631.546,[06]臺中市,和平區,山,66,43,2,38,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,107Y
64736,64735,,市立自由國小,[424]臺中市和平區自由里東崎路二段49號,240757.544,2687297.112,[06]臺中市,和平區,山,51,40,2,29,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,107Y
64737,64736,,市立梨山國(中)小,[424]臺中市和平區梨山里福壽路10號,276368.02,2683391.28,[06]臺中市,和平區,山,107,46,17,15,1,9,0,0,0,0,0,2,0,1,0,1,0,0,0,107Y
84687,64737,,縣立魚池國小,[555]南投縣魚池鄉魚池村瓊文巷41號,243616.91,2643833.81,[08]南投縣,魚池鄉,平,179,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84689,84687,,縣立東光國小,[555]南投縣魚池鄉東光村慶隆巷36號,246608.74,2642893.06,[08]南投縣,魚池鄉,平,38,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84690,84689,,縣立五城國小,[555]南投縣魚池鄉五城村華龍巷1之2號,238711.75,2642944.7,[08]南投縣,魚池鄉,平,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84693,84690,,縣立新城國小,[555]南投縣魚池鄉新城村通文巷7之1號,242287.46,2644414.63,[08]南投縣,魚池鄉,平,135,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84694,84693,,縣立德化國小,[555]南投縣魚池鄉日月村中正路211巷1號,243426.93,2638250.41,[08]南投縣,魚池鄉,平,36,11,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,107Y
84695,84694,,縣立共和國小,[555]南投縣魚池鄉共和村五馬巷57之1號,246565.18,2646076.77,[08]南投縣,魚池鄉,平,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84716,84695,,縣立信義國小,[556]南投縣信義鄉明德村玉山路24號,235186.61,2621578.28,[08]南投縣,信義鄉,山,54,34,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84717,84716,,縣立羅娜國小,[556]南投縣信義鄉羅娜村信義巷一鄰73號,236816,2613870.009,[08]南投縣,信義鄉,山,98,95,2,2,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,107Y
84718,84717,,縣立同富國小,[556]南投縣信義鄉同富村同和巷4號,238547.96,2610048.64,[08]南投縣,信義鄉,山,143,91,1,0,0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,107Y
84719,84718,,縣立愛國國小,[556]南投縣信義鄉愛國村愛國巷108號,234562.47,2621128.1,[08]南投縣,信義鄉,山,47,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,107Y
84720,84719,,縣立人和國小,[556]南投縣信義鄉人和村民生巷3號,239506.08,2630634.77,[08]南投縣,信義鄉,山,74,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
84721,84720,,縣立地利國小,[556]南投縣信義鄉地利村開信巷17號,244229.62,2632232.17,[08]南投縣,信義鄉,山,59,54,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
