ID,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
54714,縣立梅園國小,[365]苗栗縣泰安鄉梅園村二鄰38號,247082,2698060.01,[05]苗栗縣,泰安鄉,山,46,46,0,42,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,"103Y"
54725,縣立士林國小,[365]苗栗縣泰安鄉士林村5鄰26號,242957.1,2693559.3,[05]苗栗縣,泰安鄉,山,44,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84716,縣立信義國小,[556]南投縣信義鄉明德村玉山路24號,235186.6163,2621578.282,[08]南投縣,信義鄉,山,81,39,0,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84717,縣立羅娜國小,[556]南投縣信義鄉羅娜村信義巷一鄰73號,236816,2613870.009,[08]南投縣,信義鄉,山,111,107,4,5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84718,縣立同富國小,[556]南投縣信義鄉同富村同和巷4號,238547.9671,2610048.648,[08]南投縣,信義鄉,山,164,79,2,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84720,縣立人和國小,[556]南投縣信義鄉人和村民生巷3號,239506.0871,2630634.778,[08]南投縣,信義鄉,山,78,78,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84721,縣立地利國小,[556]南投縣信義鄉地利村開信巷17號,244229.6281,2632232.178,[08]南投縣,信義鄉,山,88,86,0,0,0,85,0,0,0,0,0,0,0,0,0,1,0,0,0,"103Y"
84722,縣立東埔國小,[556]南投縣信義鄉東埔村開高巷63號,242611.7308,2606547.478,[08]南投縣,信義鄉,山,60,58,1,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,"103Y"
84724,縣立潭南國小,[556]南投縣信義鄉潭南村和平巷49號,243918.4426,2635285.424,[08]南投縣,信義鄉,山,49,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
84727,縣立桐林國小,[556]南投縣信義鄉同富村太平巷18號,237246.0972,2606335.886,[08]南投縣,信義鄉,山,34,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
