ID,NAME,ADDR,X,Y,,CO_NAME,,TO_NAME,,MF,STU_CNT,AB_STU_CNT,,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,TW97經緯度,縣市名稱,縣市統計,鄉鎮市區名稱,鄉鎮,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族學生比例,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
34733,市立霞雲國小,[336]桃園市復興區霞雲里六鄰14號,288553.66,2746083.88,"24.821709,121.381396",[03]桃園市,11,復興區,11,山,28,27,96.43%,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34734,市立奎輝國小,[336]桃園市復興區奎輝里三鄰25號,283804.94,2743368.19,"24.797303,121.334354",[03]桃園市,11,復興區,11,山,56,54,96.43%,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34735,市立光華國小,[336]桃園市復興區華陵里四鄰12號,290979.54,2725653.21,"24.637188,121.404796",[03]桃園市,11,復興區,11,山,17,17,100.00%,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34736,市立高義國小,[336]桃園市復興區高義里三鄰28號,286473.46,2733938.62,"24.712107,121.360501",[03]桃園市,11,復興區,11,山,26,25,96.15%,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34737,市立長興國小,[336]桃園市復興區長興里十六鄰頭角43號,281093.2,2743674.26,"24.800124,121.30754",[03]桃園市,11,復興區,11,山,39,39,100.00%,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34738,市立三光國小,[336]桃園市復興區三光里四鄰8號,285956.36,2728357.93,"24.661734,121.355247",[03]桃園市,11,復興區,11,山,32,32,100.00%,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34740,市立羅浮國小,[336]桃園市復興區羅浮里三鄰16號,287192.21,2744291.29,"24.805559,121.36788",[03]桃園市,11,復興區,11,山,62,60,96.77%,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34741,市立巴崚國小,[336]桃園市復興區華陵里九鄰75號,290206.82,2731020.93,"24.685672,121.397317",[03]桃園市,11,復興區,11,山,49,48,97.96%,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
54668,縣立南庄國小,[353]苗栗縣南庄鄉東村文化路3號,249929.67,2721513.64,"24.600358,120.999305",[05]苗栗縣,14,南庄鄉,5,平,130,49,37.69%,1,33,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,110Y
54669,縣立田美國小,[353]苗栗縣南庄鄉田美村九鄰191號,250858.76,2724723.66,"24.62934,121.008482",[05]苗栗縣,14,南庄鄉,5,平,45,5,11.11%,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,110Y
